"STUB_1","STUB_2","1/5/18","12/29/17","1/6/17","1/8/16","1/5/18","1/6/17"
"Stocks (Million Barrels) ","Crude Oil (including SPR)","1,083.262","1,088.211","1,178.191","1,146.309","– –","– –"
"Stocks (Million Barrels) ","Commercial","419.515","424.463","483.109","451.190","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","11.478","11.498","12.936","16.231","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","130.164","133.352","150.900","145.329","– –","– –"
"Stocks (Million Barrels) ","Cushing, Oklahoma","46.578","48.973","66.930","64.007","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","203.610","206.173","246.278","215.883","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","22.050","22.417","23.403","19.118","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","52.213","51.024","49.591","54.631","– –","– –"
"Stocks (Million Barrels) ","Alaska In-Transit","3.603","5.650","3.060","6.439","– –","– –"
"Stocks (Million Barrels) ","SPR","663.747","663.748","695.082","695.119","– –","– –"
"Stocks (Million Barrels) ","Total Motor Gasoline","237.322","233.187","240.473","240.434","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","61.447","58.210","67.292","62.906","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","52.970","50.793","51.995","57.552","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","81.711","84.071","82.741","82.612","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","7.755","7.253","7.958","7.687","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","33.439","32.861","30.487","29.678","– –","– –"
"Stocks (Million Barrels) ","Finished Motor Gasoline","24.375","24.987","28.802","27.794","– –","– –"
"Stocks (Million Barrels) ","Reformulated","0.044","0.037","0.042","0.037","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","0.028","0.021","0.025","0.024","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","0.000","0.000","0.000","0.000","– –","– –"
